SAS File,Datatel Table,Datatel Field,Download Field Name,Field Type,Field Start Position,Field End Position,Length,SAS Format,Multi-Value,SAS Variable Name,Old SAS Variable Name
Class02,COURSE.SEC.MEETING,SEC.LOCAL.GOVT.CODES,Local IDs,Character,472,486,15,$10.,Yes/No,ADCClsLocalIDs,
Class02,COURSE.SEC.MEETING,SEC.SYNONYM,Synonym,Character,487,497,11,$7.,No,ADCClsSynonym,
Class02,COURSE.SEC.MEETING,SEC.USER1,SEC.USER1,Character,498,517,20,$8.,No,ADCClsIMethod,
Class02,COURSE.SEC.MEETING,XSEC.FTE,Total FTE,Numeric,518,526,9,COMMA9.2,No,ADCClsTotalFTE,
Class02,COURSE.SEC.MEETING,XSEC.FTE.CONTACT,FTE Contact,Numeric,527,537,11,COMMA9.2,No,ADCClsFTEContactHrs,
Class02,COURSE.SEC.MEETING,XSEC.FTE.COUNT,FTE Count,Numeric,538,546,9,9.2,No,ADCClsFTEStuCt,
Class02,COURSE.SEC.MEETING,SEC.FUNDING.ACCTG.METHOD,Acctg Method,Character,547,576,30,$1.,No,ADCClsAcctMethod,
Class02,COURSE.SEC.MEETING,SEC.FACULTY.LAST.NAME,SEC.FACULTY.LAST.NAME,Character,577,633,57,$20.,No,ADCClsPriFacLName,
Class02,COURSE.SEC.MEETING,SEC.FACULTY.FIRST.NAME,SEC.FACULTY.FIRST.NAME,Character,634,663,30,$20.,No,ADCClsPriFacFName,
Class02,COURSE.SEC.MEETING,SEC.FACULTY.MIDDLE.NAME,SEC.FACULTY.MIDDLE.NAME,Character,664,693,30,$1.,No,ADCClsPriFacMName,
Class02,COURSE.SEC.MEETING,SEC.ALL.FACULTY.LAST.NAMES,SEC.ALL.FACULTY.LAST.NAMES,Character,694,750,57,$20.,Yes,ADCClsAllFacLName,
Class02,COURSE.SEC.MEETING,COURSE.SECTIONS.ID,Section,Character,751,771,21,$7.,No,ADCClsID,
Class02,COURSE.SEC.MEETING,SEC.TERM,Term,Character,772,806,35,$8.,No,ADCClsTerm,DUPLICATE NOT USED
Class02,COURSE.SEC.MEETING,CREATED,Created,Character,,,,$15.,No,Class,
Class02,COURSE.SEC.MEETING,CALCULATED,Calculated,Numeric,,,,8.,No,ClsAvailSeats,
Class02,COURSE.SEC.MEETING,CREATED,Created,Character,,,,$40.,No,ClsPriFacLFMName,
Class02,COURSE.SEC.MEETING,CREATED,Created,Character,,,,$10.,No,DataPoint,
