"InstTerm","ADCGradTerm","ADCPersonID","ADCGradAcadProgram","GradProg","GradCert","CIPCode2010","InstCountry","InstState","InstShortName"
201602,2016SU,3191724,A10100,A10100,,24.0101,US,NC,CPCC
201602,2016SU,3749808,A10100,A10100,,24.0101,US,NC,CPCC
201602,2016SU,3410166,A10100,A10100,,24.0101,US,NC,CPCC
201602,2016SU,8672002,A10100,A10100,,24.0101,US,NC,CPCC
201602,2016SU,8698293,A10100,A10100,,24.0101,US,NC,CPCC
201602,2016SU,1408521,A10100,A10100,,24.0101,US,NC,CPCC
201602,2016SU,1231555,A10100,A10100,,24.0101,US,NC,CPCC
201602,2016SU,6337124,A10100,A10100,,24.0101,US,NC,CPCC
201602,2016SU,6362645,A10100,A10100,,24.0101,US,NC,CPCC
201602,2016SU,6345378,A10100,A10100,,24.0101,US,NC,CPCC
201602,2016SU,6827183,A10100,A10100,,24.0101,US,NC,CPCC
201602,2016SU,6763241,A10100,A10100,,24.0101,US,NC,CPCC
201602,2016SU,6707951,A10100,A10100,,24.0101,US,NC,CPCC
201602,2016SU,6709397,A10100,A10100,,24.0101,US,NC,CPCC
201602,2016SU,6415129,A10100,A10100,,24.0101,US,NC,CPCC
201602,2016SU,6475407,A10100,A10100,,24.0101,US,NC,CPCC
201602,2016SU,6448914,A10100,A10100,,24.0101,US,NC,CPCC
201602,2016SU,6444117,A10100,A10100,,24.0101,US,NC,CPCC
201602,2016SU,6425951,A10100,A10100,,24.0101,US,NC,CPCC
201602,2016SU,6458510,A10100,A10100,,24.0101,US,NC,CPCC
201602,2016SU,6457759,A10100,A10100,,24.0101,US,NC,CPCC
201602,2016SU,6450006,A10100,A10100,,24.0101,US,NC,CPCC
201602,2016SU,6933908,A10100,A10100,,24.0101,US,NC,CPCC
201602,2016SU,6936354,A10100,A10100,,24.0101,US,NC,CPCC
201602,2016SU,6986704,A10100,A10100,,24.0101,US,NC,CPCC
201602,2016SU,6917265,A10100,A10100,,24.0101,US,NC,CPCC
201602,2016SU,6912634,A10100,A10100,,24.0101,US,NC,CPCC
201602,2016SU,6967350,A10100,A10100,,24.0101,US,NC,CPCC
201602,2016SU,6962101,A10100,A10100,,24.0101,US,NC,CPCC
