"InstTerm","ADCGradTerm","ADCPersonID","ADCGradAcadProgram","GradProg","GradCert","CIPCode2010","InstCountry","InstState","InstShortName"
201601,2016SP,6540566,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6540548,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6540032,A45110,A45110,,51.3801,US,NC,CPCC
201601,2016SP,6540063,A15240,A15240,,01.0601,US,NC,CPCC
201601,2016SP,6593486,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6593286,A25120,A25120,,52.0201,US,NC,CPCC
201601,2016SP,6593261,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6593256,A55150,A55150,,12.0503,US,NC,CPCC
201601,2016SP,6593525,A10400,A10400,,24.0101,US,NC,CPCC
201601,2016SP,6598398,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6598843,A40100,A40100,,15.0101,US,NC,CPCC
201601,2016SP,6598480,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6598920,A40320,A40320,,15.0805,US,NC,CPCC
201601,2016SP,6598297,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6598574,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6598025,A25500,A25500,,52.1203,US,NC,CPCC
201601,2016SP,6598025,D25500D4,D25500,D4,52.1203,US,NC,CPCC
201601,2016CE1,6591770,AHS,AHS,,00.0000,US,NC,CPCC
201601,2016SP,6591917,A55130,A55130,,12.0501,US,NC,CPCC
201601,2016SP,6591014,A55130,A55130,,12.0501,US,NC,CPCC
201601,2016SP,6591093,A45170,A45170,,51.0901,US,NC,CPCC
201601,2016SP,6596144,A45640,A45640,,51.0806,US,NC,CPCC
201601,2016SP,6596608,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6596461,C25100C1,C25100,C1,52.0301,US,NC,CPCC
201601,2016SP,6596474,D45400,D45400,,51.0801,US,NC,CPCC
201601,2016SP,6596231,A25380,A25380,,22.0302,US,NC,CPCC
201601,2016SP,6596032,C25500C1,C25500,C1,52.1203,US,NC,CPCC
201601,2016SP,6596032,D2550017,D25500,17,52.1203,US,NC,CPCC
201601,2016SP,6597833,A10400,A10400,,24.0101,US,NC,CPCC
201601,2016SP,6597101,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6597611,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6597677,A45110,A45110,,51.3801,US,NC,CPCC
201601,2016SP,6597569,C25500C6,C25500,C6,52.1203,US,NC,CPCC
201601,2016SP,6597595,C25500C7,C25500,C7,52.1203,US,NC,CPCC
201601,2016SP,6597595,D2550013,D25500,13,52.1203,US,NC,CPCC
201601,2016SP,6597077,A25500,A25500,,52.1203,US,NC,CPCC
201601,2016SP,6594365,A50420,A50420,,48.0508,US,NC,CPCC
201601,2016SP,6594324,C25500C3,C25500,C3,52.1203,US,NC,CPCC
201601,2016SP,6592924,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6595108,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6595652,A45640,A45640,,51.0806,US,NC,CPCC
201601,2016SP,6595413,A25380,A25380,,22.0302,US,NC,CPCC
201601,2016SP,6595444,A60160,A60160,,47.0604,US,NC,CPCC
201601,2016SP,6595999,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6595216,A55240,A55240,,43.0201,US,NC,CPCC
201601,2016SP,6590382,C25500C6,C25500,C6,52.1203,US,NC,CPCC
201601,2016SP,6590366,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6590202,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,6523394,A45110,A45110,,51.3801,US,NC,CPCC
201601,2016SP,6523811,A40180,A40180,,15.0303,US,NC,CPCC
201601,2016SP,6523853,A55240,A55240,,43.0201,US,NC,CPCC
201601,2016SP,6523070,A45260,A45260,,51.0602,US,NC,CPCC
201601,2016SP,6528736,A45110NR,A45110,NR,51.3801,US,NC,CPCC
201601,2016SP,6528284,C25500C3,C25500,C3,52.1203,US,NC,CPCC
201601,2016SP,6528284,C25500C8,C25500,C8,52.1203,US,NC,CPCC
201601,2016SP,6528228,A10400,A10400,,24.0101,US,NC,CPCC
201601,2016SP,6521330,C25500C3,C25500,C3,52.1203,US,NC,CPCC
