"InstTerm","ADCGradTerm","ADCPersonID","ADCGradAcadProgram","GradProg","GradCert","CIPCode2010","InstCountry","InstState","InstShortName"
201503,2015FA,3306169,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,3213703,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,3569371,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,8394281,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,8606672,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,8479221,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,1810485,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,1131503,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,1171137,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6382136,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6324931,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6818101,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6873639,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6843295,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6182537,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6483720,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6416734,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6416240,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6419866,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6468661,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6465805,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6473020,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6474524,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6479399,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6443985,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6498581,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6497649,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6494962,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6495288,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6451740,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6459690,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6452907,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6404143,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6933038,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6931869,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6934942,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6935865,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6985935,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6916159,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6919876,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6963027,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6961971,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6964700,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6964512,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6962992,A10100,A10100,,24.0101,US,NC,CPCC
201503,2015FA,6960108,A10100,A10100,,24.0101,US,NC,CPCC
