2018SP,AUT,151,P02,2013-09-16,KBROOKS,2013-09-16,KBROOKS,2014-01-06,13:30:00.0000000,2014-05-06,14:45:00.0000000,T,HS,030,3039,LAB
2018SP,AUT,151,P02,2013-09-16,KBROOKS,2013-09-16,KBROOKS,2014-01-06,13:30:00.0000000,2014-05-06,14:45:00.0000000,TH,HS,030,3039,LAB
2018SP,AUT,181,PA2,2013-09-16,KBROOKS,2013-09-16,KBROOKS,2014-01-06,13:00:00.0000000,2014-05-06,14:15:00.0000000,M,HS,030,3039,CLASS
2018SP,AUT,181,PA2,2013-09-16,KBROOKS,2013-09-16,KBROOKS,2014-01-06,13:00:00.0000000,2014-05-06,14:15:00.0000000,W,HS,030,3039,CLASS
2018SP,AUB,121,TW1,2013-09-16,KBROOKS,2013-09-16,KBROOKS,2014-01-06,10:00:00.0000000,2014-05-06,13:50:00.0000000,F,MC,030,3039,LAB
2018SP,AUB,131,TWA1,2013-09-16,KBROOKS,2013-09-16,KBROOKS,2014-01-06,NULL,2014-05-06,NULL,NULL,MC,OL,OL,CLASS
2018SP,AUT,151,T01,2013-09-16,KBROOKS,2013-10-21,KBROOKS,2014-01-06,13:30:00.0000000,2014-05-06,14:20:00.0000000,M,MC,030,3041,CLASS
2018SP,AUT,151,T01,2013-09-16,KBROOKS,2013-10-21,KBROOKS,2014-01-06,13:30:00.0000000,2014-05-06,14:20:00.0000000,W,MC,030,3041,CLASS
2018SP,AUT,181,TA1,2013-09-16,KBROOKS,2013-09-16,KBROOKS,2014-01-06,14:30:00.0000000,2014-05-06,15:50:00.0000000,M,MC,030,3041,LAB
2018SP,AUT,181,TA1,2013-09-16,KBROOKS,2013-09-16,KBROOKS,2014-01-06,14:30:00.0000000,2014-05-06,15:50:00.0000000,W,MC,030,3041,LAB
2018SP,TRN,180,T01,2013-09-16,KBROOKS,2013-09-16,KBROOKS,2014-01-06,17:00:00.0000000,2014-05-06,19:50:00.0000000,T,MC,030,3037,LAB
2018SP,AUT,281,TA1,2013-09-16,KBROOKS,2013-09-16,KBROOKS,2014-01-06,19:00:00.0000000,2014-05-06,19:50:00.0000000,TH,MC,030,3041,CLASS
2018CE1,MLA,3022,10000,2013-09-16,KBROOKS,2013-09-16,KBROOKS,2014-01-06,13:00:00.0000000,2014-05-06,15:50:00.0000000,W,OC,030,3029,LAB
2018CE1,SEF,3001,17276,2013-09-16,KBROOKS,2013-09-16,KBROOKS,2014-01-06,16:00:00.0000000,2014-05-06,22:50:00.0000000,T,OC,033,3323,LAB
2018CE1,SEF,3001,17277,2013-09-16,KBROOKS,2013-09-16,KBROOKS,2014-01-06,19:00:00.0000000,2014-05-06,20:50:00.0000000,W,OC,033,3323,LAB
2018CE1,EMS,4200,60000,2013-09-24,KBROOKS,2013-09-24,KBROOKS,2014-01-06,NULL,2014-05-06,NULL,NULL,OC,OL,OL,LAB
2018CE1,CSP,4000,15001,2013-09-26,KBROOKS,2013-09-26,KBROOKS,2014-01-06,08:00:00.0000000,2014-02-03,08:50:00.0000000,M,OC,003,352,CLASS
2018CE1,CSP,4000,15001,2013-09-26,KBROOKS,2013-09-26,KBROOKS,2014-01-06,08:00:00.0000000,2014-02-03,08:50:00.0000000,W,OC,003,352,CLASS
2018CE1,CSP,4000,15001,2013-09-26,KBROOKS,2013-09-26,KBROOKS,2014-01-06,08:00:00.0000000,2014-02-03,08:50:00.0000000,F,OC,003,352,CLASS
2018CE1,CSP,4000,15002,2013-09-26,KBROOKS,2013-09-26,KBROOKS,2014-01-06,08:00:00.0000000,2014-02-03,08:50:00.0000000,T,OC,003,352,LAB
2018CE1,CSP,4000,15002,2013-09-26,KBROOKS,2013-09-26,KBROOKS,2014-01-06,08:00:00.0000000,2014-02-03,08:50:00.0000000,TH,OC,003,352,LAB
2018CE1,CSP,4000,15003,2013-09-26,KBROOKS,2013-09-26,KBROOKS,2014-01-06,09:00:00.0000000,2014-02-03,09:50:00.0000000,M,OC,003,352,CLASS
2018CE1,CSP,4000,15003,2013-09-26,KBROOKS,2013-09-26,KBROOKS,2014-01-06,09:00:00.0000000,2014-02-03,09:50:00.0000000,W,OC,003,352,CLASS
2018CE1,CSP,4000,15003,2013-09-26,KBROOKS,2013-09-26,KBROOKS,2014-01-06,09:00:00.0000000,2014-02-03,09:50:00.0000000,F,OC,003,352,CLASS
2018CE1,CSP,4000,15004,2013-09-26,KBROOKS,2013-09-26,KBROOKS,2014-01-06,09:00:00.0000000,2014-02-03,09:50:00.0000000,T,OC,003,352,LAB
2018CE1,CSP,4000,15004,2013-09-26,KBROOKS,2013-09-26,KBROOKS,2014-01-06,09:00:00.0000000,2014-02-03,09:50:00.0000000,TH,OC,003,352,LAB
2018CE1,CSP,4000,15005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,OC,NULL,NULL,NULL
2018CE1,SEF,3001,11001,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-03-04,14:00:00.0000000,2014-04-07,14:50:00.0000000,T,MC,003,352,LAB
2018CE1,SEF,3001,11001,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-03-04,14:00:00.0000000,2014-04-07,14:50:00.0000000,TH,MC,003,352,LAB
2018CE1,CJC,3938,90000,2013-09-27,KBROOKS,2013-10-14,KBROOKS,2014-01-06,17:00:00.0000000,2014-02-03,17:50:00.0000000,M,OC,003,352,CLASS
2018CE1,CJC,3938,90000,2013-09-27,KBROOKS,2013-10-14,KBROOKS,2014-01-06,17:00:00.0000000,2014-02-03,17:50:00.0000000,W,OC,003,352,CLASS
2018CE1,CJC,3938,90000,2013-09-27,KBROOKS,2013-10-14,KBROOKS,2014-01-06,17:00:00.0000000,2014-02-03,17:50:00.0000000,TH,OC,003,352,CLASS
2018CE1,SEF,3001,11002,2013-09-27,KBROOKS,2013-10-14,KBROOKS,2014-03-04,17:00:00.0000000,2014-04-07,17:50:00.0000000,T,MC,003,352,LAB
2018CE1,SEF,3001,11003,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-01-06,13:00:00.0000000,2014-02-03,13:50:00.0000000,M,MC,003,352,CLASS
2018CE1,SEF,3001,11003,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-01-06,13:00:00.0000000,2014-02-03,13:50:00.0000000,W,MC,003,352,CLASS
2018CE1,SEF,3001,11003,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-01-06,13:00:00.0000000,2014-02-03,13:50:00.0000000,F,MC,003,352,CLASS
2018SP,ACA,122,IN1,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-03-04,NULL,2014-05-06,NULL,NULL,OL,OL,OL,LAB
2018SP,ACA,115,01,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-03-04,13:00:00.0000000,2014-04-07,13:50:00.0000000,M,MC,003,352,CLASS
2018SP,ACA,115,01,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-03-04,13:00:00.0000000,2014-04-07,13:50:00.0000000,W,MC,003,352,CLASS
2018SP,ACA,115,01,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-03-04,13:00:00.0000000,2014-04-07,13:50:00.0000000,F,MC,003,352,CLASS
2018SP,ACA,115,N1,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-03-04,13:00:00.0000000,2014-04-07,13:50:00.0000000,T,MC,003,352,LAB
2018SP,ACA,115,N1,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-03-04,13:00:00.0000000,2014-04-07,13:50:00.0000000,TH,MC,003,352,LAB
2018SP,ACA,115,W1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MC,NULL,NULL,NULL
2018SP,ACA,115,IN1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,OL,NULL,NULL,NULL
2018SP,ACA,115,INA1,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-02-04,08:00:00.0000000,2014-03-03,10:50:00.0000000,S,OL,003,352,CLASS
2018SP,ACA,115,INA2,2013-09-27,KBROOKS,2013-10-14,KBROOKS,2014-04-08,17:00:00.0000000,2014-05-06,17:50:00.0000000,M,OL,003,352,CLASS
2018SP,ACA,115,INA2,2013-09-27,KBROOKS,2013-10-14,KBROOKS,2014-04-08,17:00:00.0000000,2014-05-06,17:50:00.0000000,W,OL,003,352,CLASS
2018SP,ACA,115,INA2,2013-09-27,KBROOKS,2013-10-14,KBROOKS,2014-04-08,17:00:00.0000000,2014-05-06,17:50:00.0000000,TH,OL,003,352,CLASS
2018SP,ACA,122,W1,2013-09-27,KBROOKS,2013-10-14,KBROOKS,2014-04-08,17:00:00.0000000,2014-05-06,17:50:00.0000000,T,MC,003,352,LAB
2018SP,ACA,122,W2,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-01-06,12:00:00.0000000,2014-02-03,12:50:00.0000000,T,MC,003,352,LAB
2018SP,ACA,122,W2,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-01-06,12:00:00.0000000,2014-02-03,12:50:00.0000000,TH,MC,003,352,LAB
2018SP,ACA,122,W3,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-02-04,13:00:00.0000000,2014-03-03,13:50:00.0000000,M,MC,003,352,CLASS
2018SP,ACA,122,W3,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-02-04,13:00:00.0000000,2014-03-03,13:50:00.0000000,W,MC,003,352,CLASS
2018SP,ACA,122,W3,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-02-04,13:00:00.0000000,2014-03-03,13:50:00.0000000,F,MC,003,352,CLASS
2018SP,ACA,122,INA1,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-02-04,13:00:00.0000000,2014-03-03,13:50:00.0000000,T,OL,003,352,LAB
2018SP,ACA,122,INA1,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-02-04,13:00:00.0000000,2014-03-03,13:50:00.0000000,TH,OL,003,352,LAB
2018SP,AGR,265,01,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-03-04,15:00:00.0000000,2014-04-07,15:50:00.0000000,M,MC,003,352,CLASS
2018SP,AGR,265,01,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-03-04,15:00:00.0000000,2014-04-07,15:50:00.0000000,W,MC,003,352,CLASS
2018SP,AGR,265,01,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-03-04,15:00:00.0000000,2014-04-07,15:50:00.0000000,F,MC,003,352,CLASS
2018SP,ART,111,01,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-03-04,15:00:00.0000000,2014-04-07,15:50:00.0000000,T,MC,003,352,LAB
2018SP,ART,111,01,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-03-04,15:00:00.0000000,2014-04-07,15:50:00.0000000,TH,MC,003,352,LAB
2018SP,ART,111,H01,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-03-04,10:00:00.0000000,2014-04-07,10:50:00.0000000,M,MC,,,CLASS
2018SP,ART,111,H01,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-03-04,10:00:00.0000000,2014-04-07,10:50:00.0000000,W,MC,,,CLASS
2018SP,ART,111,H01,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-03-04,10:00:00.0000000,2014-04-07,10:50:00.0000000,F,MC,,,CLASS
2018SP,ART,111,IN1,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-03-04,10:00:00.0000000,2014-04-07,10:50:00.0000000,T,OL,003,352,LAB
2018SP,ART,111,IN1,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-03-04,10:00:00.0000000,2014-04-07,10:50:00.0000000,TH,OL,003,352,LAB
2018SP,ART,115,01,2013-09-27,KBROOKS,2013-09-27,KBROOKS,2014-04-08,11:00:00.0000000,2014-05-06,11:50:00.0000000,M,MC,003,352,CLASS
